SoftMass,Sex,SexN,HomeRange
345.3683829,Male,1,34.37973105
487.0093695,Male,1,10.98009184
423.681662,Male,1,25.5052842
272.6238415,Male,1,52.34099908
452.7116782,Male,1,20.38928137
384.5874878,Male,1,31.82459985
473.4997315,Male,1,14.24199731
444.9165644,Male,1,23.26047801
209.9780611,Male,1,60.68175914
257.8527912,Male,1,54.58673051
453.2882599,Male,1,18.74968019
28.70280412,Male,1,94.72024603
452.6747439,Male,1,19.02568923
398.702154,Male,1,29.6792649
201.6856754,Male,1,62.70881504
53.47646861,Male,1,88.95282317
346.2160883,Male,1,40.03256647
483.4498308,Male,1,13.21005369
437.6772117,Male,1,23.82413297
305.650288,Male,1,49.20920354
47.95975514,Male,1,90.59213993
9.856453959,Male,1,96.09053837
211.1484063,Male,1,63.25988498
368.7809511,Male,1,34.59428933
470.1448596,Male,1,20.56650195
321.3826659,Male,1,44.48502537
439.7428769,Male,1,21.47747831
425.4594915,Male,1,25.75720517
361.879968,Male,1,35.90603809
371.078225,Male,1,35.46138199
492.3704706,Female,0,3.154950388
384.2015377,Female,0,2.287899744
450.1302556,Female,0,1.619803057
259.4646087,Female,0,4.851308042
302.8535389,Female,0,3.619851328
201.4363366,Female,0,7.20437381
194.992905,Female,0,7.154782706
380.9741901,Female,0,1.166696525
251.1362175,Female,0,6.325389843
44.33179764,Female,0,10.85660916
425.9940116,Female,0,3.367102739
175.345982,Female,0,3.532533353
413.8368379,Female,0,4.523555612
246.7350607,Female,0,5.10193799
310.7564745,Female,0,4.016768157
27.59877179,Female,0,7.89745859
261.1691837,Female,0,5.232013349
442.1198356,Female,0,1.547767816
234.5801531,Female,0,7.855510584
379.8796848,Female,0,1.532616524
9.137142447,Female,0,11.80553953
307.7578548,Female,0,1.450416673
215.4357499,Female,0,2.797412327
326.4699053,Female,0,2.509128329
55.24975515,Female,0,9.738364706
262.4122061,Female,0,7.813542706
462.9220977,Female,0,0.872891422
420.6877052,Female,0,5.198421485
152.9674855,Female,0,7.467898837
98.49781611,Female,0,7.162203806
