SexN,Sex,Diet,Saturation,Individual
1,Male,83.71796157,106.8200826,1
1,Male,80.59852162,112.8948035,1
1,Male,18.32230516,46.95853303,1
1,Male,83.12514977,112.3519506,1
1,Male,64.2258539,86.02401374,1
1,Male,39.22841359,66.13830689,1
1,Male,32.92976184,63.84602044,1
1,Male,45.06773535,85.38806242,1
1,Male,79.82772423,112.4566638,1
1,Male,42.87840166,69.56743983,1
1,Male,14.49307293,41.99221813,2
1,Male,21.60455302,51.23037409,2
1,Male,55.60253558,88.14956973,2
1,Male,57.99103142,77.3671127,2
1,Male,60.37204692,82.68830403,2
1,Male,69.11871481,95.31585273,2
1,Male,42.31847017,69.30522341,2
1,Male,93.05588507,125.920187,2
1,Male,66.57397186,96.53540754,2
1,Male,51.71171563,80.4872036,2
1,Male,74.46575707,114.2576208,3
1,Male,98.48027104,134.346876,3
1,Male,38.13739689,78.09032211,3
1,Male,58.01350492,97.25727945,3
1,Male,51.7203267,84.46368958,3
1,Male,36.33636287,72.63535181,3
1,Male,56.22260574,97.77993322,3
1,Male,64.08174359,103.0495298,3
1,Male,97.10915185,135.8435074,3
1,Male,95.26864387,129.5038255,3
0,Female,72.62629075,74.19945193,4
0,Female,95.05372509,97.93076913,4
0,Female,70.70103439,68.51762403,4
0,Female,63.49577464,60.3197232,4
0,Female,73.22446125,62.85506511,4
0,Female,56.6510569,59.44803415,4
0,Female,11.52560297,2.126205616,4
0,Female,34.32656896,40.9846361,4
0,Female,14.20614369,19.82318408,4
0,Female,82.72112529,76.89447574,4
0,Female,12.18622245,19.73923053,5
0,Female,38.85707499,51.30790614,5
0,Female,35.82570606,44.00455938,5
0,Female,49.02898349,64.27838653,5
0,Female,64.91696475,73.76200642,5
0,Female,64.63237768,84.51058412,5
0,Female,66.68650102,80.4554683,5
0,Female,86.224584,101.0280819,5
0,Female,90.18911122,102.1421944,5
0,Female,35.59923663,39.3659763,5
0,Female,36.247862,50.4509191,6
0,Female,80.10443777,92.8143155,6
0,Female,15.55913258,32.28053603,6
0,Female,70.49384985,84.34585113,6
0,Female,77.50201076,95.89783749,6
0,Female,37.853159,57.81903858,6
0,Female,58.21346034,76.27080652,6
0,Female,83.47765284,101.3516952,6
0,Female,98.77965761,109.6293324,6
0,Female,35.0495756,53.3213352,6
1,Male,27.81704528,66.95109869,7
1,Male,17.14431246,51.47260675,7
1,Male,88.25746066,124.1178171,7
1,Male,44.77685893,70.87414909,7
1,Male,58.30472282,93.31366107,7
1,Male,74.57138439,95.34787194,7
1,Male,30.04016865,62.91697208,7
1,Male,74.54571489,107.7978453,7
1,Male,61.24832609,82.83861798,7
1,Male,53.42205347,82.6612741,7
1,Male,45.74679001,72.15751827,8
1,Male,81.47293142,127.5031798,8
1,Male,36.39048664,73.33768676,8
1,Male,57.93353182,84.1581978,8
1,Male,85.79157483,119.0949975,8
1,Male,57.02108221,92.71903716,8
1,Male,55.4764873,96.56526341,8
1,Male,51.71508021,86.73387579,8
1,Male,65.66634574,116.1964632,8
1,Male,72.32492204,118.3524363,8
1,Male,91.38031451,135.0141102,9
1,Male,45.24899327,88.79847088,9
1,Male,12.10848242,52.76595996,9
1,Male,68.75288556,115.6132283,9
1,Male,64.24150216,110.6885577,9
1,Male,38.16939228,79.81361214,9
1,Male,59.45376531,99.45270305,9
1,Male,27.95823781,71.99041595,9
1,Male,22.47231523,69.75608564,9
1,Male,43.41915961,87.34335326,9
0,Female,89.92334253,101.9077435,10
0,Female,16.47260174,36.3848747,10
0,Female,84.29930573,101.7452424,10
0,Female,67.93558913,85.41137331,10
0,Female,72.18635606,90.73728311,10
0,Female,67.88248296,86.94542478,10
0,Female,25.41109359,43.09877794,10
0,Female,56.72632072,69.26938416,10
0,Female,87.27907447,106.8500654,10
0,Female,97.87220429,120.9095311,10
0,Female,14.71292736,24.48395017,11
0,Female,81.17922901,85.78209672,11
0,Female,69.15810585,78.38850183,11
0,Female,56.30761401,59.37701027,11
0,Female,40.74159308,42.03752707,11
0,Female,72.08624128,85.02308224,11
0,Female,85.41941808,89.2033911,11
0,Female,51.90616796,52.0143992,11
0,Female,67.83026908,77.13554202,11
0,Female,89.85647674,94.73935279,11
0,Female,66.16431637,81.82211373,12
0,Female,76.16643327,86.49175095,12
0,Female,58.40753143,65.05883677,12
0,Female,84.17556422,96.64158427,12
0,Female,50.37514462,70.64500102,12
0,Female,77.06423869,80.62087876,12
0,Female,57.45870675,64.6908877,12
0,Female,68.89877655,83.27643707,12
0,Female,67.2808826,73.53972431,12
0,Female,95.05968031,99.26870638,12
