NativeBirds, IslandEndemics,ExtinctIslandEndemics,NonEndemic, ExtinctNonEndemic,TotalExtinctions,Area,Elevation, FirstColonDate, Isolation, Latitude,ExoticMammals,Predators,Herbivores
12,6,1,6,0,1,97,859,300,1500,-7,5,2,3
11,0,0,11,0,0,20,777,500,1300,48,1,1,0
16,0,0,16,0,0,182.4,1045,500,1300,48,3,2,1
14,0,0,14,0,0,153.3,915,500,1300,48,2,1,1
14,0,0,14,0,0,69.9,402,500,1300,48,2,1,1
17,1,0,16,0,0,461.4,2351,500,1300,48,3,2,1
15,0,0,15,0,0,260.6,1053,500,1300,48,4,3,1
15,1,0,14,0,0,102.6,587,500,1300,48,3,2,1
21,1,0,20,0,0,768.7,1105,500,1300,48,4,3,1
21,1,0,20,0,0,415.6,1021,500,1300,48,6,5,1
14,3,1,11,2,3,39.3,79,500,920,33,5,5,0
21,4,2,17,1,3,13.4,289,2000,90,28,0,0,0
40,5,0,35,1,1,290.5,1500,2000,90,28,5,4,1
44,6,2,38,0,2,1633.3,807,2000,90,28,7,6,1
45,6,0,39,2,2,359.1,1487,2000,90,28,5,4,1
22,2,1,20,1,2,30.6,266,2000,90,28,0,0,0
53,5,1,48,2,3,1529.9,1426,2000,90,28,6,5,1
38,4,2,34,1,3,790.5,670,2000,90,28,5,4,1
39,7,1,32,0,1,690.2,2423,2000,90,28,5,4,1
16,2,1,14,1,2,4.6,122,2000,90,28,0,0,0
13,2,1,11,1,2,30,256,2000,90,28,0,0,0
57,8,1,49,2,3,2007.8,3718,2000,90,28,7,5,2
18,1,0,17,1,1,634.1,390,550,500,16.5,2,2,0
9,1,0,8,0,0,3,327,550,500,16.5,1,1,0
19,4,1,15,1,2,66.6,976,550,500,16.5,3,3,0
16,3,0,13,0,0,474.8,2829,550,500,16.5,2,2,0
16,1,0,15,0,0,279,436,550,500,16.5,1,1,0
13,3,0,10,0,0,7,164,550,500,16.5,0,0,0
12,1,0,11,0,0,221.5,406,550,500,16.5,2,2,0
16,4,0,12,0,0,787.3,1979,550,500,16.5,2,2,0
27,5,0,22,0,0,992,1392,550,500,16.5,3,3,0
4,0,0,4,0,0,36.7,395,550,500,16.5,3,2,1
20,5,1,15,2,3,352.2,1304,550,500,16.5,2,2,0
13,1,0,12,3,3,232.8,743,550,500,16.5,2,2,0
10,3,0,7,1,1,17,670,520,220,-3,0,0,0
39,11,0,28,1,1,148.5,948,520,130,2,0,0,0
55,21,0,34,0,0,854.8,2024,520,160,0,4,4,0
32,5,0,27,0,0,749.4,1861,2000,600,33,6,3,3
32,5,0,27,0,0,43.9,93,2000,600,33,1,0,1
16,0,0,16,0,0,2.72,82,500,482,-53,0,0,0
11,0,0,11,0,0,54,780,200,1600,-55,0,0,0
22,14,0,8,0,0,66.6,910,500,2800,-40,3,1,2
20,14,0,6,0,0,20,600,500,2800,-37,3,1,2
16,10,0,6,0,0,3,400,500,2800,-37,0,0,0
31,11,0,20,0,0,3717.5,2934,225,1700,-54,7,4,3
16,9,3,7,1,4,103.2,2060,500,2800,-37,10,5,5
22,11,8,11,4,12,125.5,819,500,1900,-15,9,6,3
73,17,0,56,0,0,1145.9,41,7000,80,25,0,0,0
75,16,0,59,0,0,3439.4,21,7000,80,25,4,4,0
58,12,0,46,0,0,386.5,122,7000,80,25,0,0,0
63,13,0,50,0,0,457.4,18,7000,80,25,0,0,0
65,13,1,52,0,1,1095.7,5,7000,80,25,1,1,0
58,7,0,51,0,0,538.4,54,7000,80,25,0,0,0
48,4,0,44,0,0,293,34,7000,80,25,0,0,0
59,6,0,53,4,4,162.3,45,7000,80,25,0,0,0
33,7,2,26,0,2,38,44,7000,500,18,1,1,0
42,10,1,32,0,1,196.3,21,7000,500,18,1,1,0
30,2,0,28,0,0,28,14,7000,500,18,1,1,0
145,58,12,87,1,13,105805.5,1974,7000,200,22,11,6,5
128,52,4,76,0,4,73929,3175,7000,550,18,10,5,5
110,51,8,59,2,10,11189.6,2256,7000,630,17,7,6,1
101,39,8,62,1,9,9099.8,1338,7000,650,17.5,5,4,1
34,6,0,28,0,0,73.7,62,5000,150,14,1,1,0
32,7,1,25,1,2,462.4,340,5000,150,14,8,7,1
51,23,1,28,0,1,787.3,1447,5000,150,14,3,3,0
46,13,0,33,2,2,322.7,840,5000,150,14,1,1,0
53,20,4,33,2,6,875.7,1467,5000,150,14,7,5,2
