PreyDens,CoyoteKill,LynxKill
0.058192301,0.522304968,0.223227532
5.720984461,5.407257308,6.190972576
8.140091428,2.334565749,6.154320731
2.373854155,3.747406719,4.511538824
9.265631032,4.770663846,7.203628158
8.160463846,4.983918646,5.985971002
2.705942332,4.426403275,4.69705258
8.061746878,4.425086929,5.326637683
8.540366518,5.805464218,5.539648082
3.507749254,4.375004136,5.128519005
1.521298883,3.644956696,3.278319647
3.292163881,4.197042694,4.624614704
6.892797949,5.272957143,6.467385853
9.832355324,3.372054403,7.405040816
3.122898426,4.257062396,5.009749469
0.094728332,0.779992467,0.372949041
8.408939815,5.459736557,7.251089164
5.742882637,4.707506917,6.031740044
6.693004898,4.769258873,6.894762537
5.759693836,4.724649806,5.878291313
8.313872276,4.876173781,6.028981916
5.257235891,4.614547171,5.863447666
6.484688667,5.027396933,5.290614216
8.055571236,4.178107925,6.453399502
6.571513242,4.052898299,5.423978748
8.578572762,4.177305614,5.748098701
7.989229003,4.455239209,7.043058955
0.410127076,2.345426281,1.307098464
4.02922167,3.703829952,4.674173036
6.610020366,4.214645789,5.916438492
3.972146874,4.032222849,4.733059477
2.070712231,4.002152193,3.939712762
5.897249174,4.260868825,6.025718561
7.320162824,4.699214444,6.140427428
2.221471241,4.034497652,4.45942213
4.901655379,4.755457998,5.378278179
0.378902433,2.114216533,1.210001497
0.893919833,3.358588576,2.699796094
1.519240648,3.620076087,3.352880171
2.568727275,4.291119688,4.19835688
7.082318664,4.318750194,6.461689737
5.056236638,4.474652696,5.385780744
6.435879024,4.601616161,6.108188001
9.358603042,5.992918003,6.663231238
3.207439038,4.052704509,4.47685654
4.319260533,3.374370256,5.177161049
2.477545699,4.419440999,4.255232344
2.464807767,3.737173915,4.280062822
8.92986,5.869537174,6.153024666
5.226806116,4.699839222,6.697973573
5.040656435,4.875671463,6.378243049
0.525403107,2.560801514,1.621626433
5.688683589,4.727884293,5.953319682
1.071831195,3.309271653,2.778570541
0.882322004,3.099478345,2.50588236
1.309258081,3.488904158,3.401233081
6.184175555,3.641184216,6.524636729
6.760676696,4.830506766,5.396736358
4.817092207,4.582155025,5.619732901
7.0672861,3.890943024,5.639439932
1.664060005,3.99481802,3.604377037
6.995143525,4.898285594,6.706450198
7.892044922,4.183051954,6.597705172
5.936150115,3.634006803,6.244709699
7.248947902,5.165800746,6.394629052
0.852121285,3.175507921,2.524992699
6.910977655,4.664223434,6.840570135
5.45970059,3.937806329,6.607800791
0.276491011,1.766401273,0.98001576
8.452185972,3.710188557,7.515994217
7.563915513,4.566177594,7.468571963
8.091264623,4.909376429,5.913356699
7.301201909,3.277345784,5.613790775
2.470357586,3.622253734,4.440404002
7.243425974,3.360168931,6.149795948
5.294990207,4.20735433,5.969193112
5.635575997,4.74601215,5.889269339
0.9986478,3.26945194,2.718067568
3.407533711,4.462856171,5.078030762
8.033636457,4.689777134,5.622191757
6.358142702,4.969814738,6.407947156
2.73446532,4.211786848,4.85949816
8.755919358,5.326115981,7.122206977
5.408779734,4.762457918,5.426679102
0.901936269,3.067418095,2.604899734
0.531470608,2.530482744,1.658225838
9.307938337,4.489242585,5.646687294
9.957860953,5.035272566,6.952894132
5.342636853,4.619119779,5.889819015
4.339186542,4.342252147,5.206468226
5.984684743,5.416325227,5.803169205
4.451947275,4.804323929,5.380215495
5.044627427,4.266566216,5.555575208
7.00487684,5.702372551,6.65529962
5.958329462,4.268697575,6.243671832
5.525883578,4.132868106,6.093019015
7.446903747,5.018563995,5.404774662
8.876156879,4.982350984,6.290325364
8.198206029,4.577900991,6.479615124
