PreyDens,PredRate
5.446390674,8.711301738
1.524776675,2.766465711
7.200634009,8.664233201
6.501682403,4.246127075
2.25371876,3.522186086
5.434614988,10.89130538
3.437611547,3.714479013
1.523375694,3.213262077
3.027929646,3.315217198
1.461359449,2.203191711
2.60722554,4.257051489
0.778116816,2.553783964
5.150739531,4.190531237
4.935080526,9.268802187
9.896416171,3.910438633
0.300431956,2.244769861
7.165536022,2.464310358
8.020481643,-0.906610295
9.524733845,8.695381291
5.25615411,7.802820359
6.903706113,9.220684206
5.107619264,4.539247787
8.680236409,8.279902517
0.254472766,2.168790777
7.875457255,11.7843167
1.297702211,2.584127004
7.627192373,5.556473646
1.483478007,3.032140849
4.649292623,-3.452720911
5.873072523,0.413547088
6.94018354,5.758427702
7.414510216,3.474419988
0.012481503,2.005698378
2.335002888,4.87611634
2.377691277,2.876778566
9.558653356,-8.514507646
4.241335738,6.338417543
8.363537977,5.405640744
4.259170686,5.838547562
8.227278041,4.880505216
5.369289075,6.610202132
7.273636841,7.50275588
1.335859622,2.887534882
9.677522679,16.97250429
7.384040167,1.264698553
3.65527187,3.216378614
1.955435943,2.989181265
3.020103794,3.433412696
9.908993354,8.503866889
1.383879734,1.472085569
8.516922894,14.62773888
9.569798692,1.133671381
6.055153321,9.979679557
4.796265164,1.9678747
5.173738054,5.839913573
6.314975429,3.315503598
2.432154509,2.299779719
0.435757211,2.121154126
5.096319727,2.583787422
1.325418654,3.230628296
6.878202167,2.667230477
2.718554404,4.205624144
2.950197472,2.204385539
4.383707763,5.268883429
5.80220663,10.77017673
5.251171185,4.507577387
0.905911942,2.375750085
4.411345513,4.644164401
2.423213775,2.417139243
0.144703025,2.088359707
8.073482268,2.556721864
4.783305827,5.003755621
1.900032225,1.285133546
2.646277698,3.348824365
3.818189224,6.884800804
5.034173209,6.357714613
2.833504796,5.451048307
4.403061121,6.845428961
1.813094595,2.17622486
0.074773896,2.065917186
5.225492898,0.029479977
9.11752442,10.65033852
6.895113819,5.2570082
9.031048082,3.322504573
7.532212042,3.316738323
6.974527873,6.460862739
6.096224023,8.530540962
3.896262582,4.913634516
8.494324221,5.345378415
7.721772714,-0.7089367
0.046787331,2.025312825
4.309621163,3.624227596
3.236869086,3.682640098
0.893459635,2.409417046
4.347032126,2.565728363
8.553317636,9.962644704
7.627976013,3.173784489
6.194071802,3.00192297
0.197397636,2.03288783
5.13540309,6.262281292
7.30733139,9.003420099
1.608971961,2.628509044
0.704116416,2.299939929
6.172231563,5.355541813
0.230809343,2.337620311
8.562721289,8.310339452
7.591227517,2.391846541
4.939969917,-1.435494182
6.508571613,6.17629834
5.556201736,10.45758586
3.831355325,5.738928467
5.257930593,5.407668643
5.070565041,5.018602173
6.905452571,10.95847146
2.253298527,2.89829804
4.843247169,6.404423805
7.498363168,3.015360994
9.699269978,-4.808687606
0.745496878,2.131650473
2.913941138,3.78768646
5.220292588,4.910052438
5.360090045,3.084672595
5.477777429,2.786015941
0.902659083,2.098941283
0.287935114,2.271216381
8.175710327,11.33081037
6.086488844,7.020601403
4.845298694,3.483412822
3.670379041,2.324559204
8.469644629,-0.266230144
6.804357799,2.779432003
1.121431346,3.241257753
1.448846442,2.783622203
5.138034347,1.553926119
0.373411261,2.313392094
5.877173011,6.448520585
0.554299274,2.052903017
5.080953133,2.308565551
5.710674187,-1.480229703
6.513471338,0.925280543
1.381711608,1.510166389
0.07312588,2.045569313
4.985571267,0.434398716
4.075733035,5.87046875
3.474972114,3.539833075
8.737824024,8.966268366
4.415766871,4.095790716
0.365203777,2.08674797
6.821325049,2.659830252
2.408673658,1.990674072
