Age,BasalArea
0,2
1,4.563896849
2,8.363410848
3,8.969829033
4,10.95062479
5,12.85628429
6,16.79934306
7,15.0152165
8,17.67455736
9,17.77801465
10,18.41229565
11,17.58366698
12,20.87440803
13,23.69686768
14,28.96644751
15,35.68852182
16,37.90126521
17,40.72570245
18,43.11811506
19,45.42373591
20,48.76269193
21,52.86208098
22,52.95053615
23,55.40501622
24,59.72061504
25,65.13303946
26,67.24908311
27,67.46065005
28,68.5850885
29,70.92155428
30,73.26120595
31,72.31133871
32,75.89730171
33,74.66194845
34,77.89245357
35,78.27142598
36,82.79599682
37,85.61735741
38,87.22885771
39,89.99870658
40,88.85215239
41,88.98647419
42,91.29467987
43,92.35380024
44,94.01514057
45,96.27095361
46,98.95493176
47,97.09382681
48,102.3269813
49,100.9652329
50,100.1793224
51,102.7476702
52,101.9908565
53,102.9665214
54,106.6606196
55,106.0261644
56,103.6520415
57,101.2576799
58,102.0498809
59,102.9971313
60,106.892719
61,111.0315643
62,115.1736704
63,118.4774801
64,120.0975797
65,123.3049689
66,127.4170571
67,130.3503605
68,131.6863085
69,136.0531506
70,139.6958719
