PreyDens,PredDens,Error
6.003684652,4.96189842,2.965583072
-0.519474053,4.543208178,-3.976265875
4.154399021,2.32426429,-1.52133669
7.134488072,1.726890753,0.861378824
8.483314887,0.225252861,0.708567748
2.161587453,3.685507696,-2.152904852
7.01042399,1.820788236,0.831212227
5.107443872,2.421816433,-0.470739694
4.026529534,4.851152879,0.877682413
3.56850973,3.361939588,-1.069550682
6.382946201,3.882362033,2.265308234
5.706401944,3.431976083,1.138378027
5.364241494,3.096491978,0.460733472
2.482389474,2.670733266,-2.84687726
4.860744754,1.951128648,-1.188126598
7.123837871,2.157539945,1.281377817
3.472397988,3.259625452,-1.26797656
4.577293706,1.93890414,-1.483802154
7.852535121,0.477373164,0.329908285
6.230182083,0.717715075,-1.052102843
6.589133117,1.588717185,0.177850302
8.970513785,0.544975722,1.515489507
3.667568431,3.788104565,-0.544327004
9.817642977,2.908631942,4.726274919
8.434565047,2.403067059,2.837632106
7.956494841,1.173789197,1.130284039
9.483683287,0.650970355,2.134653642
4.124732134,4.220188172,0.344920306
3.454143193,3.4163512,-1.129505607
4.499746075,3.835592372,0.335338446
7.696522345,2.29219276,1.988715105
7.70538466,0.514412756,0.219797417
2.377349842,3.078792476,-2.543857682
-0.592625844,3.190704773,-5.401921071
3.577990046,1.74903359,-2.672976364
4.531835916,4.378790509,0.910626424
3.41126342,2.569730737,-2.019005844
0.477616481,4.990664581,-2.531718938
9.424996537,0.865509791,2.290506327
1.527721647,4.21119569,-2.261082663
8.366673514,1.003712469,1.370385983
0.918530257,2.987404239,-4.094065504
5.876146864,1.508740342,-0.615112794
6.865672983,3.605866051,2.471539034
4.463464057,0.79979476,-2.736741183
4.190275437,4.637405812,0.82768125
0.876452014,4.953722461,-2.169825525
3.686045739,3.405080548,-0.908873713
3.161014599,3.031289027,-1.807696374
