PreyDens,LitterSize
3.777385907,5
6.730021358,10
3.22786554,3
6.98063424,8
4.046458262,3
2.311431177,3
1.296923663,2
0.005490616,2
1.105091483,3
8.697333926,5
5.00935896,4
1.087645212,2
1.687887506,3
9.189952965,5
1.178054907,6
4.270581789,3
3.346350638,2
1.009266158,2
6.299184512,4
2.158920383,3
9.602759968,6
2.177688834,2
6.185127703,4
5.169985409,5
5.390390635,3
9.547975369,5
0.941443386,4
6.581670726,5
4.82165921,3
0.157198924,2
3.706074734,5
5.584149521,16
1.757084105,4
7.237179792,5
3.387679692,7
1.955702712,10
2.397727079,10
0.79608164,6
8.90910213,5
6.032951092,4
5.154367336,7
2.814596365,3
3.594133545,3
5.724106243,5
6.867249442,9
4.805508129,5
5.094878712,4
5.996674099,6
4.540812851,4
3.558660521,3
6.909271991,16
4.997194791,3
3.998010853,3
6.781867268,6
2.87271076,4
6.953866677,4
0.235752243,2
9.761349053,6
2.722871856,3
5.38089415,4
9.851264308,6
8.150890983,7
0.148555602,3
3.812557269,4
8.912525668,6
5.595982667,4
4.424339441,3
8.443830757,5
9.349903016,6
0.287561107,9
9.544366626,6
3.135131761,7
1.093615483,4
6.904996237,6
4.097487045,4
2.608165277,5
1.255986742,2
7.203685201,7
3.109291391,5
3.671976772,3
4.081459074,5
8.712335996,5
1.626174127,3
3.091009383,2
4.169347782,6
1.197129743,3
6.556286322,5
6.678744068,11
6.440186863,5
8.417111804,5
9.224260581,6
4.34043574,3
1.050244008,1
2.980694908,5
2.29388079,2
4.494067738,5
3.407418468,4
4.332171299,3
1.246843155,2
3.27092893,3
