Plots,QuailDensity
Exclusion,9.731381696
Exclusion,7.337366914
Exclusion,7.322445606
Exclusion,8.612237347
Exclusion,7.922954727
Exclusion,8.115671777
Exclusion,6.193926409
Exclusion,8.811536804
Exclusion,10.45018675
Exclusion,10.62305403
Exclusion,7.333810375
Exclusion,8.511718791
Exclusion,7.932433592
Exclusion,7.098633472
Exclusion,7.926647964
Exclusion,7.90931573
Exclusion,8.033427421
Exclusion,9.060648502
Exclusion,9.226738332
Exclusion,9.626810629
Exclusion,6.771438927
Exclusion,10.02066283
Exclusion,8.424220022
Exclusion,9.259682889
Exclusion,8.415114792
Control,5.323132143
Control,5.870652043
Control,5.16621476
Control,4.806298813
Control,5.176715898
Control,5.500533746
Control,3.803811304
Control,5.307061025
Control,5.178906931
Control,5.620044166
Control,2.628865592
Control,3.62318557
Control,5.686029916
Control,6.074700832
Control,6.241649858
Control,4.375502192
Control,4.422346533
Control,6.189744269
Control,4.94284961
Control,3.472181544
Control,6.182512726
Control,5.760195167
Control,4.964269799
Control,5.179721719
Control,4.480552791
