Sex,Treatment,Size
Males,Control,2.064360278
Males,Control,1.918223639
Males,Control,1.998437644
Males,Control,2.220678389
Males,Control,1.848119049
Males,Control,2.056156315
Males,Control,1.875760756
Males,Control,2.031083755
Males,Control,2.105170624
Males,Control,1.819950301
Males,Control,2.18747414
Males,Control,2.006787429
Males,Control,2.089473944
Males,Control,1.884462442
Males,Control,2.06914191
Males,Control,2.13198578
Males,Control,2.125495867
Males,Control,2.404756293
Males,Control,2.354555148
Males,Control,1.795140319
Males,Control,1.967265812
Males,Control,2.102406517
Males,Control,2.118600856
Males,Control,2.02528978
Males,Control,1.876134671
Males,Hormone,2.666394745
Males,Hormone,3.491321258
Males,Hormone,3.353962681
Males,Hormone,3.219246394
Males,Hormone,2.591752198
Males,Hormone,2.936545505
Males,Hormone,3.139279484
Males,Hormone,3.026454004
Males,Hormone,2.785423188
Males,Hormone,2.98146126
Males,Hormone,3.129119188
Males,Hormone,3.162361175
Males,Hormone,2.68151031
Males,Hormone,3.063073812
Males,Hormone,3.032795976
Males,Hormone,2.980217584
Males,Hormone,3.01754733
Males,Hormone,3.0341828
Males,Hormone,2.917194261
Males,Hormone,3.142923494
Males,Hormone,2.873194914
Males,Hormone,3.085899555
Males,Hormone,2.618608616
Males,Hormone,2.897746945
Males,Hormone,3.36190415
Females,Control,1.8351154
Females,Control,1.56755307
Females,Control,1.763367835
Females,Control,1.54117037
Females,Control,1.512101567
Females,Control,1.392335105
Females,Control,1.666835651
Females,Control,1.840281083
Females,Control,1.337262623
Females,Control,1.560591331
Females,Control,1.693458895
Females,Control,1.366224339
Females,Control,1.359622617
Females,Control,1.546265702
Females,Control,1.329785965
Females,Control,1.267111972
Females,Control,1.158345416
Females,Control,1.501506764
Females,Control,1.620765294
Females,Control,1.327614698
Females,Control,1.121526541
Females,Control,1.674784914
Females,Control,1.294186099
Females,Control,1.791134948
Females,Control,1.286130132
Females,Hormone,2.089063415
Females,Hormone,1.898828973
Females,Hormone,1.808955856
Females,Hormone,2.126757403
Females,Hormone,2.294516859
Females,Hormone,1.818795432
Females,Hormone,1.935879275
Females,Hormone,2.175130424
Females,Hormone,1.843064138
Females,Hormone,1.884087724
Females,Hormone,1.898302549
Females,Hormone,1.782859237
Females,Hormone,2.010351277
Females,Hormone,1.969152928
Females,Hormone,1.948185953
Females,Hormone,1.898252104
Females,Hormone,1.967496471
Females,Hormone,1.919286977
Females,Hormone,2.157687189
Females,Hormone,1.868463274
Females,Hormone,1.937145244
Females,Hormone,2.122278231
Females,Hormone,2.029433273
Females,Hormone,1.637108707
Females,Hormone,2.161261568
