Field,Plot,Density
1,Control,19.90359245
1,dBurn,29.4165227
1,Fertilize,23.52203698
2,Control,24.11905747
2,dBurn,25.66161805
2,Fertilize,30.36620487
3,Control,18.92764234
3,dBurn,21.17859159
3,Fertilize,24.82242543
4,Control,26.20226022
4,dBurn,27.96911998
4,Fertilize,31.46211335
5,Control,22.42635243
5,dBurn,25.82247346
5,Fertilize,28.92737271
6,Control,15.638182
6,dBurn,29.89881468
6,Fertilize,19.38977045
7,Control,20.97007473
7,dBurn,26.2172396
7,Fertilize,22.93445933
8,Control,15.98705706
8,dBurn,20.59026677
8,Fertilize,24.18745951
