Habitat,Understory,Present
grassland,10,9
Forest,26,7
Forest,93,13
Crops,89,6
Crops,9,4
Crops,32,1
Crops,68,4
Forest,65,16
Forest,67,5
Crops,70,4
Forest,85,8
Crops,59,9
Forest,90,15
Forest,70,10
Crops,65,4
Forest,3,4
Forest,81,11
grassland,49,11
Crops,67,7
Forest,3,3
grassland,15,2
Crops,50,4
grassland,44,8
Forest,52,10
Forest,89,15
grassland,89,13
grassland,47,11
Forest,53,10
Crops,20,3
grassland,63,6
grassland,65,11
grassland,88,18
Forest,95,8
grassland,2,2
grassland,61,10
Crops,82,6
Forest,89,10
Forest,1,5
Forest,36,8
grassland,33,4
grassland,79,11
grassland,68,9
Forest,56,9
Forest,90,11
Forest,84,5
Crops,92,8
Crops,36,4
Forest,35,3
Crops,91,6
Crops,99,19
Forest,96,16
grassland,10,3
Forest,73,12
Forest,1,9
Crops,64,8
Crops,10,1
Crops,7,3
grassland,3,4
Crops,83,9
Forest,55,10
Crops,76,10
grassland,14,5
Forest,65,10
Crops,57,3
Crops,69,3
Crops,20,0
grassland,26,9
Forest,63,14
Crops,64,3
Crops,16,7
Forest,3,7
Forest,99,13
Forest,43,3
grassland,68,12
grassland,7,7
grassland,43,11
Crops,42,3
Forest,38,7
Forest,84,15
grassland,29,4
Crops,37,1
Crops,15,5
Crops,13,5
grassland,31,8
Forest,19,4
Crops,19,3
grassland,7,2
Crops,0,2
Crops,96,10
Forest,62,10
Forest,5,7
Forest,93,11
grassland,82,9
grassland,34,4
Forest,92,12
Forest,96,16
Forest,79,8
grassland,0,9
Crops,93,4
